val_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.1770076615469796,1745270986,,False,1,14e72fa2,2025-04-21_14-29-46,0.3813469409942627,0.3813469409942627,14362,Ians-MacBook-Pro.local,127.0.0.1,0.3813469409942627,1
1.1642676523753575,1745270986,,False,2,14e72fa2,2025-04-21_14-29-46,0.005051136016845703,0.3863980770111084,14362,Ians-MacBook-Pro.local,127.0.0.1,0.3863980770111084,2
1.154446268081665,1745270986,,False,3,14e72fa2,2025-04-21_14-29-46,0.005570888519287109,0.3919689655303955,14362,Ians-MacBook-Pro.local,127.0.0.1,0.3919689655303955,3
1.1462625741958619,1745270986,,False,4,14e72fa2,2025-04-21_14-29-46,0.005137920379638672,0.3971068859100342,14362,Ians-MacBook-Pro.local,127.0.0.1,0.3971068859100342,4
1.1387812069484167,1745270986,,False,5,14e72fa2,2025-04-21_14-29-46,0.004949092864990234,0.4020559787750244,14362,Ians-MacBook-Pro.local,127.0.0.1,0.4020559787750244,5
1.131861332484654,1745270986,,False,6,14e72fa2,2025-04-21_14-29-46,0.0050389766693115234,0.40709495544433594,14362,Ians-MacBook-Pro.local,127.0.0.1,0.40709495544433594,6
1.125232653958457,1745270986,,False,7,14e72fa2,2025-04-21_14-29-46,0.004685163497924805,0.41178011894226074,14362,Ians-MacBook-Pro.local,127.0.0.1,0.41178011894226074,7
1.1187495299748011,1745270986,,False,8,14e72fa2,2025-04-21_14-29-46,0.004644155502319336,0.4164242744445801,14362,Ians-MacBook-Pro.local,127.0.0.1,0.4164242744445801,8
1.112215941292899,1745270986,,False,9,14e72fa2,2025-04-21_14-29-46,0.005288362503051758,0.42171263694763184,14362,Ians-MacBook-Pro.local,127.0.0.1,0.42171263694763184,9
1.1055957930428642,1745270986,,True,10,14e72fa2,2025-04-21_14-29-46,0.005443096160888672,0.4271557331085205,14362,Ians-MacBook-Pro.local,127.0.0.1,0.4271557331085205,10
